filename,ingredient_name,specifications,attribute,target,tolerance,sampling,testmethod
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,pesticides and Residues,0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent ]
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Arsenic,0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Cadmium,0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent ]
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Lead ],0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,"Aflatoxin, total |",<= 5 ppb,Upper limit 5 ppb," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Mycotoxins OTHER THAN Aflatoxin,0 ppb,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |"," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Extraneous Material,[Free from adulterants,"Must conform with FDA Defect Action Levels (DALS) where applicable or Canadian equivalent (e.g., chocolate liquor, cocoa, wheat flour) 1"," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent I
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Foreign Material,[Free from adulterants,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |"," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Flavor/Odor,[No foreign taste or odor,Shall not differ significantly in similarity to control testing 1," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey Sensory Evaluation IHershey Sensory Evaluation I
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Assay,[99.0 - 100.5 %,II," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<A r<A r<[Each Lot[Each Lot",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey Sensory Evaluation IHershey Sensory Evaluation IHershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,pH @ 50g/l |,2.5 I,II," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<A r<A r<[Each Lot[Each LotA r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey Sensory Evaluation IHershey Sensory Evaluation IHershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey Sensory Evaluation JHershey Sensory Evaluation J
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Specific Gravity @ 20°C ),[1.05 |,II," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<A r<A r<[Each Lot[Each LotA r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey Sensory Evaluation IHershey Sensory Evaluation IHershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey Sensory Evaluation JHershey Sensory Evaluation JT ET E
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", MICROBIOLOGICAL CRITERIAnullnullnull,APC,null,N/A 1,[N/A J,[BAM or AOAC equivalent |
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", MICROBIOLOGICAL CRITERIAnullnullnull,Yeast,null,N/A 1,[N/A J,[BAM or AOAC equivalent |
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", MICROBIOLOGICAL CRITERIAnullnullnull,Mold,null,N/A I,[N/A ),BAM or AoAc equivalent |
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", MICROBIOLOGICAL CRITERIAnullnullnull,Coliform,null,|10/g mpn max ),[N/A ),BAM or AoAc equivalent |
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", MICROBIOLOGICAL CRITERIAnullnullnull,E. coli,null,Negative |,[N/A ),BAM or AoAc equivalent |
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", MICROBIOLOGICAL CRITERIAnullnullnull,Salmonella,null,Negative |,[N/A ),BAM or AoAc equivalent |
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", FUNCTIONAL SPECIFICATIONS,Assay, 99.0-100.5 %,"",Each Lot,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", FUNCTIONAL SPECIFICATIONS,Moisture, 99.0-100.5 %,Upper limit 0.3 %,As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", FUNCTIONAL SPECIFICATIONS,Fumaric Acid, 99.0-100.5 %,Upper limit 1.0 %,As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", FUNCTIONAL SPECIFICATIONS,Maleic acid, 99.0-100.5 %,Upper limit 0.05 %,As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", FUNCTIONAL SPECIFICATIONS,Particle Size (sieve), 99.0-100.5 %max. 710 pm,min. 95 %,As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Attribute,Target,Tolerance,Sampling,Test Method
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Pesticides and Residues,0 ppm,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Arsenic,0 ppm,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Cadmium,0 ppm,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Lead,0 ppm,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,"Aflatoxin, total",<= 5 ppb,Upper limit 5 ppb,As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,"Mycotoxins, OTHER THAN ALFATOXIN",0 ppb,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Extraneous Material,Free from adulterants,"Must conform with FDA Defect Action Levels (DALS) where applicable or Canadian equivalent (e.g., chocolate liquor, cocoa, wheat flour)",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Foreign Material,Free from adulterants,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines",As requested,Hershey approved method or AOAC equivalent
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Flavor/Odor,No foreign taste or odor,Shall not differ significantly in similarity to control testing,As requested,Hershey Sensory Evaluation
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Color/Appearance,No foreign taste or odor,Shall not differ significantly in similarity to control testing,As requested,Hershey Sensory Evaluation
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Color/Appearance,White Powder,Shall not differ significantly in similarity to control testing,As requested,Hershey Sensory Evaluation
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Color/Appearance,White Powder, 99.0-100.5 %max. 710 pmShall not differ significantly in similarity to control testing,As requested,Hershey Sensory Evaluation
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Color/Appearance,White Powder, 99.0-100.5 %max. 710 pmShall not differ significantly in similarity to control testing,As requested,Hershey Sensory Evaluation
"Acid, Malic, Powder Subs 1015581.xlsx"," Acid, Malic, Powder Subs 1015581", ANALYTICAL SPECIFICATIONSnullnullnullnullnull,Color/Appearance,White Powder, 99.0-100.5 %max. 710 pmShall not differ significantly in similarity to control testing,As requested,Hershey Sensory Evaluation
